Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
10/11/2014 12:44,0,2,00:02,Turbine operational,1,FALSE,FALSE,8.3
10/11/2014 12:47,0,1,00:01,Turbine starting,1,FALSE,FALSE,14.2
10/11/2014 12:47,0,0,00:00,Turbine in operation,1,FALSE,FALSE,18
11/11/2014 12:47,0,8,00:08,Turbine in operation during maintenance,1,FALSE,FALSE,6.6
11/11/2014 13:34,8,0,08:00,Maintenance,6,TRUE,FALSE,5
11/11/2014 15:40,0,8,00:08,Turbine in operation during maintenance,1,FALSE,FALSE,6
11/11/2014 16:27,8,0,08:00,Maintenance,6,TRUE,FALSE,4.2
11/11/2014 18:11,0,8,00:08,Turbine in operation during maintenance,1,FALSE,FALSE,4.6
11/11/2014 18:14,0,0,00:00,Turbine in operation,1,FALSE,FALSE,3.6
12/11/2014 00:45,0,5,00:05,Calibration of  load control,1,FALSE,FALSE,9
12/11/2014 00:50,0,1,00:01,Turbine starting,1,FALSE,FALSE,7.8
12/11/2014 00:51,0,0,00:00,Turbine in operation,1,FALSE,FALSE,7
12/11/2014 07:16,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.8
12/11/2014 07:17,0,2,00:02,Turbine operational,1,FALSE,FALSE,8.8
12/11/2014 07:19,0,1,00:01,Turbine starting,1,FALSE,FALSE,7.4
12/11/2014 07:20,0,0,00:00,Turbine in operation,1,FALSE,FALSE,13.8
12/11/2014 10:22,1,1,01:01,Turbine stopped : Control cabinet,1,FALSE,FALSE,5.6
12/11/2014 10:23,8,0,08:00,Maintenance,6,TRUE,FALSE,6.5
12/11/2014 18:29,0,8,00:08,Turbine in operation during maintenance,1,FALSE,FALSE,8.2
12/11/2014 18:29,0,0,00:00,Turbine in operation,1,FALSE,FALSE,8.8
12/11/2014 22:23,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.3
12/11/2014 22:23,0,2,00:02,Turbine operational,1,FALSE,FALSE,11.9
12/11/2014 22:25,0,1,00:01,Turbine starting,1,FALSE,FALSE,13.4
12/11/2014 22:26,0,5,00:05,Calibration of  load control,1,FALSE,FALSE,11.4
12/11/2014 22:26,0,1,00:01,Turbine starting,1,FALSE,FALSE,13
12/11/2014 22:27,0,0,00:00,Turbine in operation,1,FALSE,FALSE,15.7
13/11/2014 00:33,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,17.4
13/11/2014 00:33,0,2,00:02,Turbine operational,1,FALSE,FALSE,16.9
13/11/2014 00:36,0,1,00:01,Turbine starting,1,FALSE,FALSE,17
13/11/2014 00:37,0,0,00:00,Turbine in operation,1,FALSE,FALSE,20.1
13/11/2014 00:41,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,16.1
13/11/2014 00:41,42,307,42 : 307,Pitch control error : Angle error blade C,6,FALSE,FALSE,15.5
13/11/2014 00:41,0,3,00:03,Start lead-up,1,FALSE,FALSE,15.4
13/11/2014 00:42,0,2,00:02,Turbine operational,1,FALSE,FALSE,10.5
13/11/2014 00:43,42,307,42 : 307,Pitch control error : Angle error blade C,6,FALSE,FALSE,13.6
13/11/2014 00:43,0,2,00:02,Turbine operational,1,FALSE,FALSE,21.7
13/11/2014 00:43,0,3,00:03,Start lead-up,1,FALSE,FALSE,22
13/11/2014 00:44,0,2,00:02,Turbine operational,1,FALSE,FALSE,13.7
13/11/2014 00:46,0,1,00:01,Turbine starting,1,FALSE,FALSE,9.8
13/11/2014 00:47,0,0,00:00,Turbine in operation,1,FALSE,FALSE,13.2
13/11/2014 06:24,21,1,21:01,Cable twisted : Left (2-3 turns),1,FALSE,FALSE,2.3
13/11/2014 07:03,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,3.2
13/11/2014 07:08,0,2,00:02,Turbine operational,1,FALSE,FALSE,1.7
13/11/2014 07:08,0,1,00:01,Turbine starting,1,FALSE,FALSE,1.5
13/11/2014 07:10,0,0,00:00,Turbine in operation,1,FALSE,FALSE,2.3
13/11/2014 09:50,1,1,01:01,Turbine stopped : Control cabinet,1,FALSE,FALSE,4.6
13/11/2014 09:50,8,0,08:00,Maintenance,6,TRUE,FALSE,5
13/11/2014 16:24,0,8,00:08,Turbine in operation during maintenance,1,FALSE,FALSE,9.1
13/11/2014 16:26,8,0,08:00,Maintenance,6,TRUE,FALSE,8.6
13/11/2014 17:12,0,8,00:08,Turbine in operation during maintenance,1,FALSE,FALSE,8.9
13/11/2014 17:12,0,0,00:00,Turbine in operation,1,FALSE,FALSE,8.5
15/11/2014 20:44,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
15/11/2014 21:11,0,2,00:02,Turbine operational,1,FALSE,FALSE,2.5
15/11/2014 21:11,0,1,00:01,Turbine starting,1,FALSE,FALSE,2
15/11/2014 21:15,0,0,00:00,Turbine in operation,1,FALSE,FALSE,1.7
17/11/2014 06:50,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.3
17/11/2014 06:51,0,2,00:02,Turbine operational,1,FALSE,FALSE,10.9
17/11/2014 06:53,0,1,00:01,Turbine starting,1,FALSE,FALSE,12
17/11/2014 06:54,0,5,00:05,Calibration of  load control,1,FALSE,FALSE,13
17/11/2014 06:54,0,1,00:01,Turbine starting,1,FALSE,FALSE,13.3
17/11/2014 06:54,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.8
18/11/2014 13:48,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.7
